3002 0,4475542
3003 0,3939286
3004 0,3623365
3005 0,3766005
3006 0,3111828
3007 0,2831781
3008 0,3109117
3009 0,2872413
3010 0,3495343
3011 0,3214963
3012 0,2775876
3013 0,2342954
3014 0,2877314
3015 0,3195777
3016 0,2666451
3017 0,3384457
3018 0,358627
3019 0,3987972
3020 0,3897123
3021 0,4195677
3022 0,4122225
3023 0,4680253
3024 0,431575
3025 0,441639
3026 0,4520391
3027 0,4651224
3028 0,5024604
3029 0,4459187
3030 0,3911851
3031 0,358322
3032 0,3542244
3033 0,2953586
3034 0,2699496
3035 0,2811496
3036 0,2730101
3037 0,2499497
3038 0,265819
3039 0,2063591
3040 0,2497343
3041 0,2838394
3042 0,2897966
3043 0,3012117
3044 0,2780204
3045 0,2741229
3046 0,2755717
3047 0,3732042
3048 0,3869951
3049 0,397611
3050 0,4171247
3051 0,4624514
3052 0,4640793
3053 0,454812
3054 0,5309674
3055 0,4712541
3056 0,4086611
3057 0,4279986
3058 0,4338884
3059 0,3368198
3060 0,2775144
3061 0,3425341
3062 0,3527856
3063 0,3185036
3064 0,30864
3065 0,2573726
3066 0,1961413
3067 0,2216631
3068 0,2210635
3069 0,2019295
3070 0,2277611
3071 0,2471873
3072 0,2003345
3073 0,2843485
3074 0,3329704
3075 0,3877309
3076 0,4396221
3077 0,498732
3078 0,5067725
3079 0,4402631
3080 0,4961767
3081 0,4713186
3082 0,5311076
3083 0,5243673
3084 0,4644905
3085 0,4769656
3086 0,4579184
3087 0,364469
3088 0,3748464
3089 0,3529232
3090 0,342726
3091 0,2977041
3092 0,300489
3093 0,2841318
3094 0,2513123
3095 0,2043919
3096 0,1923411
3097 0,2452706
3098 0,2098227
3099 0,2553901
3100 0,2870065
3101 0,2994627
3102 0,3785345
3103 0,4064525
3104 0,4099929
3105 0,4601742
3106 0,4354091
3107 0,5159371
3108 0,4855144
3109 0,4864225
3110 0,4717711
3111 0,4704544
3112 0,4251617
3113 0,4341346
3114 0,4164468
3115 0,338605
3116 0,3129854
3117 0,307392
3118 0,2677879
3119 0,2008733
3120 0,2028785
3121 0,1703721
3122 0,1925104
3123 0,216458
3124 0,2146757
3125 0,2077794
3126 0,2602628
3127 0,2424841
3128 0,3114021
3129 0,3313065
3130 0,4211277
3131 0,3916059
3132 0,3990758
3133 0,3436298
3134 0,3807208
3135 0,408968
3136 0,4552612
3137 0,4885426
3138 0,441846
3139 0,4536215
3140 0,4455691
3141 0,4390901
3142 0,3915581
3143 0,3297811
3144 0,3041344
3145 0,2618747
3146 0,2534233
3147 0,2509663
3148 0,2850101
3149 0,2789474
3150 0,2777831
3151 0,2416819
3152 0,2533285
3153 0,3403151
3154 0,2739537
3155 0,2998606
3156 0,3379705
3157 0,3544626
3158 0,3459942
3159 0,3208395
3160 0,3550963
3161 0,3548495
3162 0,385422
3163 0,4183603
3164 0,4121032
3165 0,3880414
3166 0,381408
3167 0,3594048
3168 0,3696021
3169 0,3763186
3170 0,4021074
3171 0,3527034
3172 0,3204892
3173 0,3434332
3174 0,2964536
3175 0,2523718
3176 0,2489686
3177 0,2569123
3178 0,2584759
3179 0,3152346
3180 0,2669687
3181 0,3062555
3182 0,4250694
3183 0,3922067
3184 0,370597
3185 0,4213767
3186 0,4137929
3187 0,3859013
3188 0,3461361
3189 0,3491525
3190 0,3739751
3191 0,3885262
3192 0,4325426
3193 0,3668237
3194 0,3629862
3195 0,3705394
3196 0,3556525
3197 0,3679496
3198 0,3741172
3199 0,3383296
3200 0,352963
3201 0,3445681
3202 0,319084
3203 0,3099515
3204 0,2963153
3205 0,310822
3206 0,3621102
3207 0,3792054
3208 0,382427
3209 0,3906763
3210 0,3313704
3211 0,3568546
3212 0,3864674
3213 0,3991916
3214 0,4190449
3215 0,4207564
3216 0,4463431
3217 0,394848
3218 0,3723446
3219 0,3273619
3220 0,3605874
3221 0,3687277
3222 0,3729249
3223 0,3278132
3224 0,3809971
3225 0,3485117
3226 0,3304075
3227 0,3427092
